Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2
soybean,0,10,1,0.1,0.3,0.7,1,1000,100,100
soybean,0,10,1,0.1,0.3,0.7,3,2,60,53.3333333333333
soybean,0,10,1,0.1,0.3,0.7,3,5,80,72
soybean,0,10,1,0.1,0.3,0.7,3,10,40,26.6666666666667
soybean,0,10,1,0.1,0.3,0.7,3,50,100,100
soybean,0,10,1,0.1,0.3,0.7,3,100,100,100
soybean,0,10,1,0.1,0.3,0.7,3,500,100,100
soybean,0,10,1,0.1,0.3,0.7,3,1000,100,100
soybean,0,10,1,0.1,0.3,0.7,6,2,60,46.6666666666667
soybean,0,10,1,0.1,0.3,0.7,6,5,80,78.6666666666667
soybean,0,10,1,0.1,0.3,0.7,6,10,40,46.6666666666667
soybean,0,10,1,0.1,0.3,0.7,6,50,100,100
soybean,0,10,1,0.1,0.3,0.7,6,100,100,100
soybean,0,10,1,0.1,0.3,0.7,6,500,100,100
soybean,0,10,1,0.1,0.3,0.7,6,1000,100,100
soybean,0,10,1,0.1,0.3,0.7,9,2,80,78.6666666666667
soybean,0,10,1,0.1,0.3,0.7,9,5,20,26.6666666666667
soybean,0,10,1,0.1,0.3,0.7,9,10,60,60
soybean,0,10,1,0.1,0.3,0.7,9,50,100,100
soybean,0,10,1,0.1,0.3,0.7,9,100,100,100
soybean,0,10,1,0.1,0.3,0.7,9,500,100,100
soybean,0,10,1,0.1,0.3,0.7,9,1000,100,100
soybean,0,10,1,0.1,0.3,0.7,15,2,20,16
soybean,0,10,1,0.1,0.3,0.7,15,5,80,78.6666666666667
soybean,0,10,1,0.1,0.3,0.7,15,10,80,72
soybean,0,10,1,0.1,0.3,0.7,15,50,100,100
soybean,0,10,1,0.1,0.3,0.7,15,100,100,100
soybean,0,10,1,0.1,0.3,0.7,15,500,100,100
soybean,0,10,1,0.1,0.3,0.7,15,1000,100,100
soybean,0,10,1,0.1,0.3,0.9,1,2,40,36.6666666666667
soybean,0,10,1,0.1,0.3,0.9,1,5,40,40
soybean,0,10,1,0.1,0.3,0.9,1,10,100,100
soybean,0,10,1,0.1,0.3,0.9,1,50,100,100
soybean,0,10,1,0.1,0.3,0.9,1,100,100,100
soybean,0,10,1,0.1,0.3,0.9,1,500,100,100
soybean,0,10,1,0.1,0.3,0.9,1,1000,100,100
soybean,0,10,1,0.1,0.3,0.9,3,2,60,46.6666666666667
soybean,0,10,1,0.1,0.3,0.9,3,5,40,46.6666666666667
soybean,0,10,1,0.1,0.3,0.9,3,10,100,100
soybean,0,10,1,0.1,0.3,0.9,3,50,100,100
soybean,0,10,1,0.1,0.3,0.9,3,100,100,100
soybean,0,10,1,0.1,0.3,0.9,3,500,100,100
soybean,0,10,1,0.1,0.3,0.9,3,1000,100,100
soybean,0,10,1,0.1,0.3,0.9,6,2,0,0
soybean,0,10,1,0.1,0.3,0.9,6,5,60,73.3333333333333
soybean,0,10,1,0.1,0.3,0.9,6,10,60,60
soybean,0,10,1,0.1,0.3,0.9,6,50,100,100
soybean,0,10,1,0.1,0.3,0.9,6,100,100,100
soybean,0,10,1,0.1,0.3,0.9,6,500,100,100
soybean,0,10,1,0.1,0.3,0.9,6,1000,100,100
soybean,0,10,1,0.1,0.3,0.9,9,2,20,26.6666666666667
soybean,0,10,1,0.1,0.3,0.9,9,5,40,26.6666666666667
soybean,0,10,1,0.1,0.3,0.9,9,10,80,86.6666666666667
soybean,0,10,1,0.1,0.3,0.9,9,50,100,100
soybean,0,10,1,0.1,0.3,0.9,9,100,100,100
soybean,0,10,1,0.1,0.3,0.9,9,500,100,100
soybean,0,10,1,0.1,0.3,0.9,9,1000,100,100
soybean,0,10,1,0.1,0.3,0.9,15,2,40,26.6666666666667
soybean,0,10,1,0.1,0.3,0.9,15,5,20,10
soybean,0,10,1,0.1,0.3,0.9,15,10,60,50
soybean,0,10,1,0.1,0.3,0.9,15,50,100,100
soybean,0,10,1,0.1,0.3,0.9,15,100,100,100
soybean,0,10,1,0.1,0.3,0.9,15,500,100,100
soybean,0,10,1,0.1,0.3,0.9,15,1000,100,100
soybean,0,10,1,0.1,0.3,2,1,2,0,0
soybean,0,10,1,0.1,0.3,2,1,5,40,40
soybean,0,10,1,0.1,0.3,2,1,10,40,26.6666666666667
soybean,0,10,1,0.1,0.3,2,1,50,100,100
soybean,0,10,1,0.1,0.3,2,1,100,100,100
soybean,0,10,1,0.1,0.3,2,1,500,100,100
soybean,0,10,1,0.1,0.3,2,1,1000,100,100
soybean,0,10,1,0.1,0.3,2,3,2,0,0
soybean,0,10,1,0.1,0.3,2,3,5,20,16
soybean,0,10,1,0.1,0.3,2,3,10,100,100
soybean,0,10,1,0.1,0.3,2,3,50,100,100
soybean,0,10,1,0.1,0.3,2,3,100,100,100
soybean,0,10,1,0.1,0.3,2,3,500,100,100
soybean,0,10,1,0.1,0.3,2,3,1000,100,100
soybean,0,10,1,0.1,0.3,2,6,2,40,40
soybean,0,10,1,0.1,0.3,2,6,5,40,22.8571428571429
soybean,0,10,1,0.1,0.3,2,6,10,100,100
soybean,0,10,1,0.1,0.3,2,6,50,100,100
soybean,0,10,1,0.1,0.3,2,6,100,100,100
soybean,0,10,1,0.1,0.3,2,6,500,100,100
soybean,0,10,1,0.1,0.3,2,6,1000,100,100
soybean,0,10,1,0.1,0.3,2,9,2,40,26.6666666666667
soybean,0,10,1,0.1,0.3,2,9,5,60,46.6666666666667
soybean,0,10,1,0.1,0.3,2,9,10,100,100
