Data set,layers,position_range,velocity_range,omega,c1,c2,c1>c2,c1=c2,c1<c2,vmax,pop_size,loss1,loss2,average,,,
glass,0,10,1,0.2,5,0.5,,,,15,100,68.1818181818182,65.5176163549369,53.0602393197383,,,
glass,0,10,1,0.5,0.9,0.1,,,,1,100,63.6363636363636,58.7121212121212,52.854267310789,,,
glass,0,10,1,0.5,5,0.9,,,,15,100,68.1818181818182,63.8200183654729,52.7409568051279,,,
glass,0,10,1,0.2,0.1,0.9,,,,7,1000,63.6363636363636,61.4772123145329,52.5389304892315,,,
glass,0,10,1,0.5,0.5,0.1,,,,1,100,59.0909090909091,54.1666666666667,52.0799168152109,,,
glass,0,10,1,0.5,5,0.9,,,,7,100,50,48.6631016042781,52.0174295014449,,,
glass,0,10,1,0.8,0.9,0.5,,,,7,1000,40.9090909090909,33.4295334295334,51.8380048683079,,,
glass,0,10,1,0.5,0.1,5,,,,1,10,72.7272727272727,64.6005509641873,51.3909144925188,,,
glass,0,10,1,0.2,0.5,0.5,,,,7,100,59.0909090909091,49.6503496503497,51.1759447243318,,,
glass,0,10,1,0.5,0.9,0.5,,,,7,10,68.1818181818182,62.1212121212121,51.0030125819599,,,
glass,0,10,1,0.5,0.1,0.5,,,,15,100,63.6363636363636,61.4536978173342,50.9253372889737,,,
glass,0,10,1,0.5,0.5,0.1,,,,7,100,54.5454545454545,54.4405089859635,50.6503012431866,,,
glass,0,10,1,0.2,5,5,,,,7,10,63.6363636363636,55.4545454545455,50.5957300275482,,,
glass,0,10,1,0.8,5,5,,,,1,100,36.3636363636364,37.5245966155057,50.5777097702935,,,
glass,0,10,1,0.2,5,0.9,,,,15,100,59.0909090909091,55.3030303030303,50.5509641873278,,,
glass,0,10,1,0.2,5,0.1,,,,7,10,72.7272727272727,64.6005509641873,50.2643031101529,,,
glass,0,10,1,0.8,0.1,0.5,,,,1,100,45.4545454545455,34.025974025974,49.9278499278499,,,
glass,0,10,1,0.2,0.5,0.9,,,,15,100,59.0909090909091,59.4405594405594,49.7987945558278,,,
glass,0,10,1,0.2,0.1,0.5,,,,7,100,59.0909090909091,55.2685950413223,49.7985971248003,,,
glass,0,10,1,0.5,0.9,0.1,,,,15,100,40.9090909090909,36.019536019536,49.1854946400401,,,
glass,0,10,1,0.8,0.9,0.9,,,,1,100,45.4545454545455,37.8787878787879,48.7791879837335,,,
glass,0,10,1,0.5,0.1,0.9,,,,7,100,68.1818181818182,65.8861340679523,48.7499234771962,,,
glass,0,10,1,0.8,0.9,5,,,,7,10,59.0909090909091,55.4112554112554,48.1700118063755,,,
glass,0,10,1,0.5,5,5,,,,1,10,54.5454545454545,44.5821854912764,48.0123201714111,,,
glass,0,10,1,0.5,0.1,0.5,,,,7,10,68.1818181818182,61.6605616605617,47.973433973434,,,
glass,0,10,1,0.2,5,0.9,,,,7,10,68.1818181818182,55.6261919898283,47.8031902972094,,,
glass,0,10,1,0.2,0.9,0.5,,,,15,100,50,45.4545454545455,47.7272727272727,,,
glass,0,10,1,0.5,0.5,0.1,,,,1,10,72.7272727272727,64.6005509641873,47.7145581691036,,,
glass,0,10,1,0.8,5,0.1,,,,15,100,31.8181818181818,34.6256684491979,47.3499702911468,,,
glass,0,10,1,0.8,0.9,0.5,,,,1,100,59.0909090909091,51.8181818181818,47.2716905121597,,,
glass,0,10,1,0.2,0.9,0.9,,,,7,100,45.4545454545455,41.304347826087,46.9927536231884,,,
glass,0,10,1,0.2,0.5,0.5,,,,1,100,59.0909090909091,54.6372819100092,46.9425860334951,,,
glass,0,10,1,0.2,0.5,0.1,,,,15,10,50,46.1906514538094,46.8477015187542,,,
glass,0,10,1,0.5,0.5,0.9,,,,7,100,63.6363636363636,63.8986013986014,46.7769975122916,,,
glass,0,10,1,0.2,0.5,0.9,,,,7,10,54.5454545454545,53.7190082644628,46.727010363374,,,
glass,0,10,1,0.5,5,0.5,,,,1,10,72.7272727272727,69.4214876033058,46.694214876033,,,
glass,0,10,1,0.2,0.5,0.9,,,,7,100,72.7272727272727,70.4315886134068,46.6370202513898,,,
glass,0,10,1,0.2,0.5,0.9,,,,1,10,54.5454545454545,55.4891015417331,46.132981773714,,,
glass,0,10,1,0.2,5,0.5,,,,15,10,45.4545454545455,41.897233201581,46.0869565217391,,,
glass,0,10,1,0.5,0.9,5,,,,15,1000,54.5454545454545,53.9530644793803,45.601595703933,,,
glass,0,10,1,0.5,0.5,0.5,,,,15,100,68.1818181818182,66.4772727272727,45.4832415059688,,,
glass,0,10,1,0.2,0.9,0.1,,,,7,10,59.0909090909091,53.7190082644628,45.2939227017471,,,
glass,0,10,1,0.5,0.9,0.5,,,,15,100,36.3636363636364,38.7700534759358,45.2246927479126,,,
glass,0,10,1,0.8,5,0.1,,,,1,10,54.5454545454545,44.6075663466968,44.9504830079115,,,
glass,0,10,1,0.8,5,0.9,,,,15,1000,54.5454545454545,52.4793388429752,44.9149630274032,,,
glass,0,10,1,0.5,5,0.1,,,,7,10,59.0909090909091,50.9641873278237,44.5436179981635,,,
glass,0,10,1,0.2,0.9,5,,,,15,100,31.8181818181818,23.455710955711,44.434731934732,,,
glass,0,10,1,0.2,0.1,0.5,,,,7,10,31.8181818181818,36.9047619047619,44.3481896890988,,,
glass,0,10,1,0.5,0.1,0.1,,,,15,10,40.9090909090909,33.5497835497836,43.9288993834448,,,
glass,0,10,1,0.5,0.1,5,,,,7,1000,54.5454545454545,50.5407011289364,43.9285531264141,,,
glass,0,10,1,0.8,0.9,0.1,,,,7,100,68.1818181818182,66.5869218500797,43.6266691684648,,,
glass,0,10,1,0.5,5,0.9,,,,7,10,68.1818181818182,69.0476190476191,43.5965924913293,,,
glass,0,10,1,0.5,0.1,0.5,,,,1,10,54.5454545454545,50.395256916996,43.5660957400088,,,
glass,0,10,1,0.2,5,0.5,,,,1,10,45.4545454545455,45.7167832167832,43.3286484757073,,,
glass,0,10,1,0.5,0.5,0.1,,,,15,10,40.9090909090909,39.7891963109354,42.9600351339482,,,
glass,0,10,1,0.5,0.5,0.5,,,,1,10,59.0909090909091,56.2373737373737,42.5759961286277,,,
glass,0,10,1,0.8,5,0.5,,,,1,10,59.0909090909091,50.2247752247752,42.234015984016,,,
glass,0,10,1,0.2,0.1,5,,,,7,10,40.9090909090909,32.5077399380805,42.1159211836105,,,
glass,0,10,1,0.8,5,0.5,,,,7,1000,40.9090909090909,46.6089466089466,42.1061492114124,,,
