layers,position_range,velocity_range,omega,c1,c2,C1 > c2,C1 == c2,vmax,pop_size,loss1,loss2,average loss2
0,10,1,0.8,0.5,0.1,TRUE,FALSE,1,100,0.133756301302837,0.024857497295803,0.037681907712056
0,10,1,0.2,0.9,5,FALSE,FALSE,7,100,0.07506514124372,0.010157617089098,0.037790055973979
0,10,1,0.5,0.1,5,FALSE,FALSE,1,10,0.115009336987897,0.02384069380676,0.037835731152111
0,10,1,0.5,0.9,0.1,TRUE,FALSE,7,10,0.109367065873663,0.020829546709529,0.038000991281104
0,10,1,0.2,0.5,0.9,FALSE,FALSE,15,10,0.090762098032509,0.015523543040934,0.038006906619747
0,10,1,0.2,5,0.1,TRUE,FALSE,15,10,0.092837013920965,0.015465603331788,0.038557712026577
0,10,1,0.2,0.1,5,FALSE,FALSE,15,100,0.07438005426104,0.009278236955382,0.038641972241458
0,10,1,0.2,0.1,0.5,FALSE,FALSE,15,10,0.139943811813732,0.026035309609558,0.039293264951414
0,10,1,0.2,0.5,0.9,FALSE,FALSE,1,10,0.109937918101285,0.021242995498444,0.039610076595499
0,10,1,0.2,5,0.9,TRUE,FALSE,1,10,0.14233721979881,0.027780794010785,0.039682840669485
0,10,1,0.2,0.9,0.9,FALSE,TRUE,7,10,0.126064078084416,0.026210456887249,0.040471755689896
0,10,1,0.8,0.1,0.1,FALSE,TRUE,7,1000,0.08216406249948,0.011256792599863,0.041026485574004
0,10,1,0.5,5,0.5,TRUE,FALSE,15,100,0.110352083150332,0.019657940525199,0.041321695741175
0,10,1,0.5,0.5,0.9,FALSE,FALSE,1,10,0.082123167132399,0.01321401172755,0.041427225856533
0,10,1,0.2,0.9,0.9,FALSE,TRUE,15,10,0.124621103617086,0.026276415897533,0.041532114267309
0,10,1,0.5,5,0.5,TRUE,FALSE,15,10,0.076811254190874,0.010730319063997,0.041653694131728
0,10,1,0.5,0.9,5,FALSE,FALSE,1,10,0.11168967176367,0.019437092408796,0.041654041517907
0,10,1,0.2,0.5,0.9,FALSE,FALSE,7,10,0.154715020039392,0.039235022807534,0.043195129715976
0,10,1,0.5,0.9,0.5,TRUE,FALSE,7,1000,0.069593833068803,0.008491071015294,0.044140854482586
0,10,1,0.5,5,0.9,TRUE,FALSE,1,10,0.12161587133252,0.025498275760944,0.044426701395684
0,10,1,0.2,5,0.5,TRUE,FALSE,7,10,0.125866009750997,0.025090569302118,0.045073882097259
0,10,1,0.5,5,5,FALSE,TRUE,1,100,0.11697311776909,0.021209258917919,0.045794492258129
0,10,1,0.5,5,5,FALSE,TRUE,1,1000,0.076445414980005,0.011229130260702,0.046068304030143
0,10,1,0.8,0.1,0.1,FALSE,TRUE,1,100,0.087089236540308,0.013620859892725,0.046114116282902
0,10,1,0.5,0.5,0.9,FALSE,FALSE,7,1000,0.0722233000911,0.009969082468735,0.047524469935024
0,10,1,0.8,0.1,0.1,FALSE,TRUE,15,1000,0.069421092027386,0.008528138389039,0.048115638308348
0,10,1,0.2,5,0.9,TRUE,FALSE,7,10,0.101319335732249,0.017409005426576,0.048584203578578
0,10,1,0.8,5,0.1,TRUE,FALSE,7,100,0.084627477781553,0.013782871739283,0.048775142493585
0,10,1,0.5,0.5,0.5,FALSE,TRUE,7,1000,0.158716228994138,0.036348167141124,0.049955852358297
0,10,1,0.2,5,5,FALSE,TRUE,7,10,0.102741237148855,0.018951700013588,0.051446171197967
0,10,1,0.8,0.5,0.1,TRUE,FALSE,1,1000,0.071632938666611,0.009088723926881,0.05264172016945
0,10,1,0.2,0.9,0.1,TRUE,FALSE,7,10,0.178131277449261,0.04487175148941,0.053682302127751
