Data set,layers,position_range,velocity_range,omega,c1,c2,c1>c2,c1<=c2,c1==c2,vmax,pop_size,loss1,loss2,average,count,value,param
Cancer,0,10,1,0.2,0.5,0.9,FALSE,,FALSE,7,1000,87.1428571428571,87.3195035782227,90.6228913745446,,,
Cancer,0,10,1,0.5,0.1,0.5,FALSE,,FALSE,1,100,85.7142857142857,85.8843537414966,90.6203473903164,,,
Cancer,0,10,1,0.8,0.9,0.1,TRUE,,FALSE,7,100,90,90.096256684492,90.6196021519399,,,
Cancer,0,10,1,0.5,0.5,0.5,FALSE,,TRUE,7,100,88.5714285714286,88.7074829931973,90.6176611379062,,,
Cancer,0,10,1,0.2,0.1,0.1,FALSE,,TRUE,7,1000,88.5714285714286,88.7074829931973,90.6171481852069,,,
Cancer,0,10,1,0.2,5,0.1,TRUE,,FALSE,1,100,88.5714285714286,88.7074829931973,90.6171481852069,,,
Cancer,0,10,1,0.2,5,0.9,TRUE,,FALSE,15,100,92.8571428571429,92.8834773987669,90.6068669924719,,,
Cancer,0,10,1,0.8,5,0.5,TRUE,,FALSE,1,100,87.1428571428571,86.9612020632429,90.5241492304792,,,
Cancer,0,10,1,0.8,0.1,0.9,FALSE,,FALSE,1,100,84.2857142857143,84.5389053298658,90.1836033639235,,,
Cancer,0,10,1,0.8,5,0.9,TRUE,,FALSE,1,1000,85.7142857142857,85.952380952381,90.1801189721291,,,
Cancer,0,10,1,0.2,0.9,0.1,TRUE,,FALSE,7,100,90,90.137391671951,90.1768215833756,,,
Cancer,0,10,1,0.5,0.9,0.9,FALSE,,TRUE,15,100,90,90.137391671951,90.1768215833756,,,
Cancer,0,10,1,0.5,0.5,0.9,FALSE,,FALSE,7,100,85.7142857142857,85.9305538868196,90.1728432836087,,,
Cancer,0,10,1,0.5,0.5,0.9,FALSE,,FALSE,1,100,85.7142857142857,85.9305538868196,90.1709933182643,,,
Cancer,0,10,1,0.8,0.1,0.1,FALSE,,TRUE,7,100,85.7142857142857,85.9305538868196,90.1709933182643,,,
Cancer,0,10,1,0.2,0.5,0.1,TRUE,,FALSE,1,100,88.5714285714286,88.7074829931973,90.1671838325974,,,
Cancer,0,10,1,0.5,0.9,0.9,FALSE,,TRUE,1,1000,87.1428571428571,87.3195035782227,90.1655735544028,,,
Cancer,0,10,1,0.2,0.1,0.9,FALSE,,FALSE,1,100,88.5714285714286,88.7074829931973,90.1644341429045,,,
Cancer,0,10,1,0.5,5,0.5,TRUE,,FALSE,1,1000,88.5714285714286,88.7074829931973,90.1644341429045,,,
Cancer,0,10,1,0.5,0.1,0.9,FALSE,,FALSE,1,100,88.5714285714286,88.7074829931973,90.1640218922286,,,
Cancer,0,10,1,0.2,0.1,0.9,FALSE,,FALSE,7,100,91.4285714285714,91.530612244898,90.1636684959118,,,
Cancer,0,10,1,0.2,0.5,0.9,FALSE,,FALSE,7,100,88.5714285714286,88.7074829931973,90.1634792389012,,,
Cancer,0,10,1,0.2,0.9,0.9,FALSE,,TRUE,1,1000,87.1428571428571,87.3195035782227,90.1624207775127,,,
Cancer,0,10,1,0.5,0.1,0.5,FALSE,,FALSE,1,1000,87.1428571428571,87.3195035782227,90.1624207775127,,,
Cancer,0,10,1,0.5,0.5,0.9,FALSE,,FALSE,1,1000,87.1428571428571,87.3195035782227,90.1624207775127,,,
Cancer,0,10,1,0.8,0.1,0.1,FALSE,,TRUE,1,100,87.1428571428571,87.3195035782227,90.1624207775127,,,
Cancer,0,10,1,0.5,0.1,0.5,FALSE,,FALSE,15,100,90,90.096256684492,90.1580008083368,,,
Cancer,0,10,1,0.2,0.1,0.9,FALSE,,FALSE,1,1000,88.5714285714286,88.7074829931973,90.156677588175,,,
Cancer,0,10,1,0.2,0.9,0.5,TRUE,,FALSE,1,1000,88.5714285714286,88.7074829931973,90.156677588175,,,
Cancer,0,10,1,0.2,0.9,0.5,TRUE,,FALSE,7,1000,88.5714285714286,88.7074829931973,90.156677588175,,,
Cancer,0,10,1,0.5,0.9,0.1,TRUE,,FALSE,1,1000,88.5714285714286,88.7074829931973,90.156677588175,,,
Cancer,0,10,1,0.5,0.1,0.1,FALSE,,TRUE,7,1000,87.1428571428571,87.3195035782227,90.1544883802153,,,
Cancer,0,10,1,0.2,0.9,0.5,TRUE,,FALSE,7,100,90,90.096256684492,90.1521059488559,,,
Cancer,0,10,1,0.5,5,5,FALSE,,TRUE,7,1000,87.1428571428571,87.3589659976877,90.1507861311352,,,
Cancer,0,10,1,0.2,5,0.9,TRUE,,FALSE,1,100,88.5714285714286,88.7074829931973,90.1498248805963,,,
Cancer,0,10,1,0.8,0.5,0.5,FALSE,,TRUE,1,100,85.7142857142857,85.8843537414966,90.140722955849,,,
Cancer,0,10,1,0.2,0.1,0.5,FALSE,,FALSE,15,100,85.7142857142857,85.952380952381,90.1267672542884,,,
Cancer,0,10,1,0.2,0.1,5,FALSE,,FALSE,1,10,85.7142857142857,85.9305538868196,90.0940157643903,,,
Cancer,0,10,1,0.5,0.1,5,FALSE,,FALSE,1,1000,87.1428571428571,86.9612020632429,89.9844033517503,,,
Cancer,0,10,1,0.8,0.1,0.5,FALSE,,FALSE,1,1000,84.2857142857143,84.5498473305072,89.7194636310635,,,
Cancer,0,10,1,0.2,0.9,5,FALSE,,FALSE,1,10,87.1428571428571,87.3500134517084,89.7109893917382,,,
Cancer,0,10,1,0.8,0.9,5,FALSE,,FALSE,1,100,87.1428571428571,87.3500134517084,89.7089888857443,,,
Cancer,0,10,1,0.5,0.5,0.1,TRUE,,FALSE,15,100,88.5714285714286,88.7074829931973,89.7032373973955,,,
Cancer,0,10,1,0.5,0.9,0.1,TRUE,,FALSE,15,100,87.1428571428571,87.3195035782227,89.7017743379129,,,
Cancer,0,10,1,0.2,0.1,0.1,FALSE,,TRUE,7,100,88.5714285714286,88.7074829931973,89.7001853571243,,,
Cancer,0,10,1,0.5,5,0.1,TRUE,,FALSE,7,1000,85.7142857142857,85.9305538868196,89.699437547045,,,
Cancer,0,10,1,0.5,0.9,0.5,TRUE,,FALSE,15,100,88.5714285714286,88.7074829931973,89.6991209070744,,,
Cancer,0,10,1,0.5,0.1,0.1,FALSE,,TRUE,15,100,90,90.096256684492,89.6937893411711,,,
Cancer,0,10,1,0.5,0.5,0.5,FALSE,,TRUE,1,100,88.5714285714286,88.7074829931973,89.6924661210093,,,
Cancer,0,10,1,0.2,0.9,5,FALSE,,FALSE,7,10,90,90.137391671951,89.6886795301507,,,
Cancer,0,10,1,0.5,5,0.1,TRUE,,FALSE,7,100,88.5714285714286,88.7444431094557,89.6876594930667,,,
Cancer,0,10,1,0.5,0.5,0.1,TRUE,,FALSE,15,1000,88.5714285714286,88.7074829931973,89.6845040230839,,,
Cancer,0,10,1,0.2,0.1,0.5,FALSE,,FALSE,1,1000,87.1428571428571,87.3195035782227,89.6834455616954,,,
Cancer,0,10,1,0.2,5,0.9,TRUE,,FALSE,15,1000,85.7142857142857,85.9305538868196,89.6809329282596,,,
Cancer,0,10,1,0.2,0.9,0.9,FALSE,,TRUE,15,100,90,90.096256684492,89.6795923295388,,,
Cancer,0,10,1,0.5,5,0.5,TRUE,,FALSE,7,100,90,90.096256684492,89.6795923295388,,,
Cancer,0,10,1,0.5,5,0.5,TRUE,,FALSE,15,100,88.5714285714286,88.6501784176203,89.6759747193796,,,
Cancer,0,10,1,0.5,5,5,FALSE,,TRUE,15,100,84.2857142857143,84.0636914106302,89.5428385780975,,,
Cancer,0,10,1,0.8,5,0.5,TRUE,,FALSE,1,1000,84.2857142857143,84.5498473305072,89.249098348028,,,
Cancer,0,10,1,0.5,5,0.9,TRUE,,FALSE,15,1000,81.4285714285714,81.7407286633267,89.247790646997,,,
Cancer,0,10,1,0.2,5,0.1,TRUE,,FALSE,7,100,85.7142857142857,85.9506085312537,89.24452108492,,,
Cancer,0,10,1,0.2,0.5,0.9,FALSE,,FALSE,1,100,88.5714285714286,88.7444431094557,89.2441024015479,,,
Cancer,0,10,1,0.2,0.9,0.1,TRUE,,FALSE,15,100,85.7142857142857,85.9305538868196,89.2387911074452,,,
Cancer,0,10,1,0.5,5,0.1,TRUE,,FALSE,1,100,87.1428571428571,87.3195035782227,89.2375255521328,,,
Cancer,0,10,1,0.5,0.9,0.1,TRUE,,FALSE,7,100,88.5714285714286,88.7074829931973,89.2346441500577,,,
