Data set,layers,position_range,velocity_range,omega,c1,c2,C1 > c2,c1<=c2,c1=c2,vmax,pop_size,loss1,loss2,average,,,
forestfires,0,10,1,0.2,0.5,0.5,,,,1,10,0.191441329956695,0.073258338915774,0.058555927916801,,,
forestfires,0,10,1,0.2,0.9,0.1,,,,7,10,0.194977305063103,0.067181130318082,0.058933818931318,,,
forestfires,0,10,1,0.2,0.5,0.1,,,,15,10,0.163681369176639,0.069238084459012,0.059105223844509,,,
forestfires,0,10,1,0.5,0.5,0.9,,,,7,1000,0.211077587788116,0.094603897618057,0.059114058851079,,,
forestfires,0,10,1,0.2,0.1,0.5,,,,1,10,0.193756593133236,0.068748893996612,0.059397944916378,,,
forestfires,0,10,1,0.2,0.1,0.1,,,,1,10,0.191037774053409,0.070382065256131,0.059661611773177,,,
forestfires,0,10,1,0.2,0.9,0.9,,,,1,10,0.193611678259079,0.077197343712527,0.060061060126685,,,
forestfires,0,10,1,0.8,0.9,0.1,,,,1,10,0.184052953816017,0.086377475091724,0.060063102902909,,,
forestfires,0,10,1,0.2,0.1,0.5,,,,7,10,0.178639884424239,0.071147407695582,0.060406829667372,,,
forestfires,0,10,1,0.2,0.9,0.9,,,,7,10,0.178609144329967,0.083904985159085,0.060540667213909,,,
forestfires,0,10,1,0.8,5,0.1,,,,7,1000,0.176658011545786,0.075475617774933,0.060635392832452,,,
forestfires,0,10,1,0.2,0.9,5,,,,15,10,0.154633085881143,0.060185476554804,0.060732330206715,,,
forestfires,0,10,1,0.2,0.9,5,,,,7,10,0.155853074895096,0.06180089123809,0.060801639692831,,,
forestfires,0,10,1,0.5,5,0.9,,,,1,10,0.187165108278415,0.065015008577667,0.060838071945792,,,
forestfires,0,10,1,0.8,0.5,0.5,,,,1,1000,0.16397554439105,0.063348319770973,0.061232613111164,,,
forestfires,0,10,1,0.5,0.9,0.1,,,,1,10,0.193458855756561,0.077172893721163,0.061357077182797,,,
forestfires,0,10,1,0.2,0.1,5,,,,7,10,0.180076627255362,0.08422681360729,0.061411235510637,,,
forestfires,0,10,1,0.2,0.9,0.5,,,,7,10,0.177548347848618,0.080672387734412,0.061643679742094,,,
