Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2,average
machine,0,10,1,0.5,5,0.1,7,1000,0.095949789175189,0.014268988875323,0.026181299755883
machine,0,10,1,0.8,0.1,5,7,10,0.098220184299166,0.038084704204278,0.026183052569604
machine,0,10,1,0.2,0.5,0.9,15,10,0.11462045796338,0.020135890021353,0.026252617126309
machine,0,10,1,0.5,0.9,0.1,7,100,0.132910420418771,0.024291587827367,0.026281847014913
machine,0,10,1,0.2,5,0.1,1,100,0.110866871583272,0.019972327968856,0.026348722824715
machine,0,10,1,0.5,0.9,5,15,100,0.098217388637563,0.040907909746479,0.026419147344569
machine,0,10,1,0.8,0.1,0.9,7,10,0.098194712851086,0.038087542070612,0.026623541695323
machine,0,10,1,0.2,0.1,0.9,15,100,0.095541561278812,0.037928462442185,0.026624996099289
machine,0,10,1,0.2,0.9,0.9,7,100,0.091497180700468,0.037278387240218,0.026653201660349
machine,0,10,1,0.5,5,0.1,7,100,0.132177510253117,0.022940183725672,0.026852354569319
machine,0,10,1,0.8,0.9,0.5,15,10,0.114040779847974,0.041465088963181,0.026914661144188
machine,0,10,1,0.8,0.1,0.9,15,100,0.08301196311495,0.020721914481703,0.026918162875085
machine,0,10,1,0.8,0.9,0.9,15,10,0.111330840814357,0.042151812506502,0.027118623715449
machine,0,10,1,0.8,0.1,0.5,15,10,0.085970125177524,0.023028278116962,0.027176280731558
machine,0,10,1,0.2,0.1,0.5,1,100,0.104734879860803,0.018160604117597,0.027236960715701
machine,0,10,1,0.2,0.9,0.1,7,100,0.086331463005328,0.014259153127183,0.027326974506212
machine,0,10,1,0.2,5,0.5,7,100,0.129192447913025,0.022778147028394,0.027406698988962
machine,0,10,1,0.8,5,5,1,10,0.108023117691349,0.043705314966472,0.027530200010037
machine,0,10,1,0.5,0.9,0.9,15,10,0.114854410166921,0.043573081683593,0.02756255197733
machine,0,10,1,0.8,5,0.1,7,10,0.111623933987967,0.040550649556326,0.027642725810662
machine,0,10,1,0.2,5,0.5,15,100,0.132555640655199,0.025747373087339,0.028119331152358
machine,0,10,1,0.8,0.5,0.1,1,10,0.097744147353304,0.037933181536133,0.028150429126766
machine,0,10,1,0.2,0.5,0.5,7,100,0.110986470938623,0.018203602966663,0.028593985700537
machine,0,10,1,0.2,5,0.9,7,10,0.122278738169377,0.023876921623049,0.028651696051182
machine,0,10,1,0.2,0.5,0.1,1,100,0.152272314403856,0.030312270573346,0.028724304976395
machine,0,10,1,0.5,0.5,5,15,10,0.097415133201622,0.03799695222011,0.028739406100549
machine,0,10,1,0.5,0.1,0.5,7,10,0.101861682089972,0.038798040830942,0.028823856832929
machine,0,10,1,0.2,0.9,0.1,15,100,0.147815536692919,0.02844101076845,0.028826709664899
