Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2,average1,average2
forestfires,0,0.4,0.5,0.5,1,1000,500,0.152849616814107,0.034925323897429,0.16600176364979538,0.0426320098178325
forestfires,0,0.4,0.5,0.5,1,1000,500,0.168738286894387,0.048146772877173,0.16600176364979538,0.0426320098178325
forestfires,0,0.4,0.5,0.5,1,1000,500,0.18357073722102504,0.052260597052069,0.16600176364979538,0.0426320098178325
forestfires,1,0.1,0.5,0.1,1,1000,500,0.16764408647383702,0.049436573700974006,0.1649326100590461,0.040041212905583
forestfires,1,0.1,0.5,0.1,1,1000,500,0.17035358895657698,0.039380198423735004,0.1649326100590461,0.040041212905583
forestfires,1,0.1,0.5,0.1,1,1000,500,0.161976084789269,0.031339066051313,0.1649326100590461,0.040041212905583
forestfires,1,0.1,0.5,0.1,1,1000,500,0.164609527885608,0.04047027932457,0.1649326100590461,0.040041212905583
forestfires,1,0.1,0.5,0.1,1,1000,500,0.167326110649759,0.033486538915246,0.1649326100590461,0.040041212905583
forestfires,1,0.1,0.5,0.1,1,1000,500,0.164675934963548,0.04560325512087099,0.1649326100590461,0.040041212905583
forestfires,1,0.1,0.5,0.1,1,1000,500,0.155743268044807,0.034203478528254,0.1649326100590461,0.040041212905583
forestfires,1,0.1,0.5,0.1,1,1000,500,0.15036208355191802,0.032734288252764,0.1649326100590461,0.040041212905583
forestfires,1,0.1,0.5,0.1,1,1000,500,0.165285598983756,0.043906884479005,0.1649326100590461,0.040041212905583
forestfires,1,0.1,0.5,0.1,1,1000,500,0.181349816291382,0.049851566259098,0.1649326100590461,0.040041212905583
forestfires,2,0.1,0.1,0.1,1,1000,500,0.166902013861214,0.049188877813064,0.165812880428221,0.0407786371630236
forestfires,2,0.1,0.1,0.1,1,1000,500,0.16427019063125198,0.037418539279938,0.165812880428221,0.0407786371630236
forestfires,2,0.1,0.1,0.1,1,1000,500,0.16067704843637198,0.032142666132994,0.165812880428221,0.0407786371630236
forestfires,2,0.1,0.1,0.1,1,1000,500,0.16037826300692598,0.041237995306951006,0.165812880428221,0.0407786371630236
forestfires,2,0.1,0.1,0.1,1,1000,500,0.164113869632889,0.032913381773208,0.165812880428221,0.0407786371630236
forestfires,2,0.1,0.1,0.1,1,1000,500,0.174045186538109,0.049578369332208,0.165812880428221,0.0407786371630236
